Correo electrónico,Apellido Paterno,Apellido Materno,Nombres,Evaluación parcial 1,Evaluación parcial 2,Evaluación parcial 3,Evaluación parcial 4,Promedio,Propuesta
guapo@pitakill.net,Canon,Prieto,Elma,6.00,7.00,8.00,9.00,7.50,8.00
inteligente@pitakill.net,Rosas,Rico,Melo,9.00,10.00,9.00,10.00,9.50,10.00
tonto@pitakill.net,Greg,Hue,Duncan,5.00,4.00,3.00,2.00,3.50,5.00
flojo@pitakill.net,Pesón,Rojo,Meardel,NP,NP,NP,NP,NP,NP
normal@pitakill.net,Guapo,Hunedy,Elmastán,7.00,9.00,8.00,8.00,8.00,8.00
guapo@braulio.tech,Kier,Esquiaga,Iker,6.00,7.00,5.00,8.00,6.50,7.00
inteligente@braulio.tech,Dejoir,Todha,Sela,10.00,10.00,10.00,9.60,9.90,10.00
tonto@braulio.tech,Sabia,Nadal,Jhono,5.00,6.00,5.00,4.00,5.00,5.00
flojo@braulio.tech,Silva,De Alegría,Alma María,NP,5.00,NP,10.00,3.75,5.00
normal@braulio.tech,Pado,Elanis,Thiene Ras,8.00,9.00,7.00,9.00,8.25,9.00
